,Index,Buy,Sell,Rate
2020-04-06 08:28:36,100.69,1248.3,1224.7,1236.5
2020-04-06 08:35:22,100.69,1248.3,1224.7,1236.5
2020-04-06 08:43:03,100.69,1248.3,1224.7,1236.5
2020-04-06 08:52:10,100.69,1248.3,1224.7,1236.5
2020-04-06 08:55:55,100.69,1248.3,1224.7,1236.5
2020-04-06 09:00:47,100.69,1248.5,1224.9,1236.7
2020-04-06 09:01:20,100.69,1249.4,1225.8,1237.6
2020-04-06 09:01:46,100.69,1248.7,1225.1,1236.9
2020-04-06 09:02:12,100.69,1247.6,1224.0,1235.8
2020-04-06 09:02:43,100.69,1247.2,1223.6,1235.4
2020-04-06 09:03:07,100.69,1247.7,1224.1,1235.9
2020-04-06 09:03:42,100.69,1248.2,1224.6,1236.4
2020-04-06 09:04:32,100.69,1248.4,1224.8,1236.6
2020-04-06 09:04:59,100.69,1248.9,1225.3,1237.1
2020-04-06 09:05:29,100.69,1249.2,1225.6,1237.4
2020-04-06 09:06:25,100.69,1248.3,1224.7,1236.5
2020-04-06 09:08:09,100.69,1248.6,1225.0,1236.8
2020-04-06 09:08:50,100.69,1248.8,1225.2,1237.0
2020-04-06 09:11:39,100.69,1248.8,1225.2,1237.0
2020-04-06 09:12:40,100.69,1249.7,1226.1,1237.9
2020-04-06 09:16:52,100.69,1249.6,1226.0,1237.8
2020-04-06 09:18:11,100.69,1250.0,1226.4,1238.2
2020-04-06 09:18:54,100.69,1249.2,1225.6,1237.4
2020-04-06 09:20:28,100.69,1249.0,1225.4,1237.2
2020-04-06 09:21:05,100.69,1248.6,1225.0,1236.8
2020-04-06 09:22:02,100.69,1249.2,1225.6,1237.4
2020-04-06 09:23:20,100.69,1248.7,1225.1,1236.9
2020-04-06 09:26:42,100.69,1248.4,1224.8,1236.6
2020-04-06 09:27:55,100.69,1248.2,1224.6,1236.4
2020-04-06 09:28:38,100.69,1247.6,1224.0,1235.8
2020-04-06 09:30:56,100.69,1247.5,1223.9,1235.7
2020-04-06 09:31:38,100.69,1246.7,1223.1,1234.9
2020-04-06 09:32:11,100.69,1246.6,1223.0,1234.8
2020-04-06 09:33:59,100.69,1246.1,1222.5,1234.3
2020-04-06 09:35:07,100.69,1245.6,1222.0,1233.8
2020-04-06 09:37:18,100.69,1245.3,1221.7,1233.5
2020-04-06 09:39:19,100.69,1244.8,1221.2,1233.0
2020-04-06 09:39:58,100.69,1244.0,1220.4,1232.2
2020-04-06 09:41:03,100.69,1243.4,1219.8,1231.6
2020-04-06 09:41:55,100.69,1243.6,1220.0,1231.8
